CODE|NAME|DESCRIPTION
EAST|EAST|EAST
WEST|WEST|WEST
PART|PART|PART
TRIANGLE|TRIANGLE|TRIANGLE
AIRWALK|AWLK|AIRWALK
PRECINCT|PREC|PREC
SHUNT|SHUN|SHUN
ARTERIAL|ARTL|ARTL
BANAN|BA|BA
RIGHT OF WAY|ROFW|ROFW
ACRE|ACRE|ACRE
WOOD|WD|WD
BULL|BULL|BULL
VILLA|VLLA|VLLA
TRAVERSE|TVSE|TVSE
MART|MART|MART
ACCESS|ACCS|ACCS
ALLEY|ALLY|ALLY
ALLEYWAY|ALWY|ALWY
AMBLE|AMBL|AMBL
APPROACH|APP|APP
ARCADE|ARC|ARC
ARTERY|ARTY|ARTY
AVENUE|AV|AV
BANK|BANK|BANK
BAY|BAY|BAY
BEACH|BCH|BCH
BEND|BEND|BEND
BOARDWALK|BWLK|BWLK
BOULEVARD|BVD|BVD
BOULEVARDE|BVDE|BVDE
BOWL|BOWL|BOWL
BRACE|BR|BR
BRAE|BRAE|BRAE
BRANCH|BRAN|BRAN
BREAK|BRK|BRK
BRETT|BRET|BRET
BRIDGE|BDGE|BDGE
BROADWALK|BRDWLK|BRDWLK
BROADWAY|BDWY|BDWY
BROW|BROW|BROW
BYPASS|BYPA|BYPA
BYWAY|BYWY|BYWY
CAUSEWAY|CSWY|CSWY
CENTRE|CTR|CTR
CENTREWAY|CNWY|CNWY
CHASE|CH|CH
CIRCLE|CIR|CIR
CIRCLET|CLT|CLT
CIRCUIT|CCT|CCT
CIRCUS|CRCS|CRCS
CLOSE|CL|CL
CLUSTER|CLR|CLR
COLONNADE|CLDE|CLDE
COMMON|CMMN|CMMN
COMMONS|CMMNS|CMMNS
CONCORD|CNCD|CNCD
CONCOURSE|CON|CON
CONNECTION|CNTN|CNTN
COPSE|CPS|CPS
CORNER|CNR|CNR
CORSO|CSO|CSO
COURSE|CRSE|CRSE
COURT|CT|CT
COURTYARD|CTYD|CTYD
COVE|COVE|COVE
CRESCENT|CR|CR
CREST|CRST|CRST
CRIEF|CRF|CRF
CROOK|CRK|CRK
CROSS|CRSS|CRSS
CROSSING|CRSG|CRSG
CRUISEWAY|CUWY|CUWY
CUL-DE-SAC|CSAC|CSAC
CUT|CUT|CUT
CUTTING|CUTT|CUTT
DALE|DALE|DALE
DELL|DELL|DELL
DENE|DENE|DENE
DEVIATION|DE|DE
DIP|DIP|DIP
DISTRIBUTOR|DSTR|DSTR
DIVIDE|DIV|DIV
DOCK|DOCK|DOCK
DOMAIN|DOM|DOM
DOWN|DOWN|DOWN
DOWNS|DWNS|DWNS
DRIVE|DR|DR
DRIVEWAY|DVWY|DVWY
EASEMENT|ESMT|ESMT
EDGE|EDGE|EDGE
ELBOW|ELB|ELB
END|END|END
ENTRANCE|ENT|ENT
ESPLANADE|ESP|ESP
ESTATE|EST|EST
EXPRESSWAY|EXP|EXP
EXTENSION|EXTN|EXTN
FAIRWAY|FAWY|FAWY
FIREBREAK|FBRK|FBRK
FIRELINE|FLNE|FLNE
FIRETRACK|FTRK|FTRK
FIRETRAIL|FITR|FITR
FLAT|FLAT|FLAT
FOLLOW|FOLW|FOLW
FOOTWAY|FTWY|FTWY
FORD|FORD|FORD
FORESHORE|FSHR|FSHR
FORK|FORK|FORK
FORMATION|FORM|FORM
FREEWAY|FWY|FWY
FRONT|FRNT|FRNT
FRONTAGE|FRTG|FRTG
GAP|GAP|GAP
GARDEN|GDN|GDN
GARDENS|GDNS|GDNS
GATE|GTE|GTE
GATEWAY|GWY|GWY
GLADE|GLDE|GLDE
GLEN|GLEN|GLEN
GRANGE|GRA|GRA
GREEN|GRN|GRN
GROVE|GR|GR
GULLY|GLY|GLY
HARBOUR|HRBR|HRBR
